Borough,Block,Lot,BIN, Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*
Bronx,4829.0,6.0,2063070.0,North Bronx NCNW Community Development Center (Leased),ACS,Not Available,153.8,4,Not Available,163.7,4.3
Bronx,5713.0,87.0,2087522.0,Kingsbridge (Leased),ACS,100,0,0,84,102.7,3.5
Brooklyn,184.0,25.0,3000937.0,Strong Place for Hope DCC (Leased),ACS,Not Available,298.4,9,Not Available,256.2,7.5
Brooklyn,391.0,56.0,3006144.0,Sunset Bay Community Services Inc. (Leased),ACS,Not Available,118.5,3.2,Not Available,126.8,3.4
Brooklyn,552.0,5.0,3008517.0,P.A.L. Miccio Day Care Center (Leased),ACS,Not Available,194.9,5.1,Not Available,191.3,5.1
Brooklyn,947.0,54.0,3019440.0,Park Slope North Child Development Center Inc. (Leased),ACS,Not Available,209.8,7.2,Not Available,207.3,7.4
Brooklyn,1036.0,18.0,3023510.0,Shirley Chisolum #2 (Leased),ACS,Not Available,102.2,2.6,Not Available,143.7,4.9
Brooklyn,1224.0,45.0,3030896.0,Friends of Crown Heights #2 (Leased),ACS,Not Available,211.9,5.5,Not Available,214.2,5.7
Brooklyn,1230.0,44.0,3031082.0,Albany Day Care and Senior Center (Leased),ACS,Not Available,137.8,4,Not Available,151.1,4.5
Brooklyn,1235.0,58.0,3031302.0,United Interfaith Action Council of Brooklyn Inc. (Leased),ACS,Not Available,107.6,4.2,Not Available,94.3,3.5
Brooklyn,1240.0,56.0,3031515.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,144.7,4.3,Not Available,167.9,4.8
Brooklyn,1246.0,1.0,3031845.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,88.5,2.3,Not Available,82.8,2.2
Brooklyn,1253.0,7.0,3032188.0,Day Care Center (Leased),ACS,Not Available,105.1,2.8,Not Available,100.4,2.7
Brooklyn,1280.0,54.0,3033470.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,141.5,3.7,Not Available,144.7,3.9
Brooklyn,1296.0,1.0,3034153.0,Friends of Crown Heights #3 (Leased),ACS,Not Available,215,6.7,Not Available,196.2,6.4
Brooklyn,1331.0,9.0,3035444.0,Mosdoth Day Care Center (Leased),ACS,Not Available,172.2,4.6,Not Available,155.5,4.2
Brooklyn,1361.0,66.0,3036100.0,Friends of Crown Heights Educational Center Inc. (Leased),ACS,Not Available,147.6,3.9,Not Available,151.2,4.1
Brooklyn,1420.0,51.0,3038317.0,All My Children Daycare and Nursery School (Leased),ACS,Not Available,177.2,4.6,Not Available,159.1,4.2
Brooklyn,1431.0,54.0,3038522.0,Shirley Chisolon Day Care Center (Leased),ACS,Not Available,114.6,3,Not Available,127.4,4.5
Brooklyn,1498.0,6.0,3040195.0,SCO Family of Services (Leased),ACS,Not Available,104.8,3.3,Not Available,107.4,3.5
Brooklyn,1520.0,51.0,3339185.0,Shirley Chisholm Day Care Center Inc. (Leased),ACS,Not Available,163.5,4.7,Not Available,168.4,5.1
Brooklyn,1538.0,46.0,3041852.0,Shirley Chisholm Day Care Center Inc. (Leased),ACS,Not Available,161.9,4.3,Not Available,145.4,3.9
Brooklyn,1624.0,1.0,3044209.0,Lutheran Social Services of NY (Leased),ACS,Not Available,160.6,4.3,Not Available,163.2,4.4
Brooklyn,2014.0,26.0,3057638.0,Young Minds Day Care Center (Leased),ACS,Not Available,202.7,5.4,Not Available,210.8,5.7
Brooklyn,2022.0,18.0,3057913.0,Administration Site (Leased),ACS,21,313.6,9.8,37,257.8,7.7
