Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †
Brooklyn,4452.0,150.0,3999999.0,26th Ward WPCP: 1533 Van Siclen Ave,DEP, 24 , 734.3 ,24.5,18,777.8,24.4,18, 733.7 , 22.4 ,21.0,709.2,21.1
Queens,776.0,150.0,4442400.0,Bowery Bay WPCP: BIN 4442400,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539453.0,Bowery Bay WPCP: BIN 4539453,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539557.0,Bowery Bay WPCP: BIN 4539557,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539558.0,Bowery Bay WPCP: BIN 4539558,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539559.0,Bowery Bay WPCP: BIN 4539559,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539560.0,Bowery Bay WPCP: BIN 4539560,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539561.0,Bowery Bay WPCP: BIN 4539561,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539562.0,Bowery Bay WPCP: BIN 4539562,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539563.0,Bowery Bay WPCP: BIN 4539563,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539564.0,Bowery Bay WPCP: BIN 4539564,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539565.0,Bowery Bay WPCP: BIN 4539565,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539566.0,Bowery Bay WPCP: BIN 4539566,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539567.0,Bowery Bay WPCP: BIN 4539567,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539568.0,Bowery Bay WPCP: BIN 4539568,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539569.0,Bowery Bay WPCP: BIN 4539569,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539570.0,Bowery Bay WPCP: BIN 4539570,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539571.0,Bowery Bay WPCP: BIN 4539571,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539572.0,Bowery Bay WPCP: BIN 4539572,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539573.0,Bowery Bay WPCP: BIN 4539573,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539574.0,Bowery Bay WPCP: BIN 4539574,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539575.0,Bowery Bay WPCP: BIN 4539575,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539579.0,Bowery Bay WPCP: BIN 4539579,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539580.0,Bowery Bay WPCP: BIN 4539580,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539581.0,Bowery Bay WPCP: BIN 4539581,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539582.0,Bowery Bay WPCP: BIN 4539582,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Queens,776.0,150.0,4539583.0,Bowery Bay WPCP: BIN 4539583,DEP, 69 , 409.3 ,13.1,70,399.4,12.9,76, 351.7 , 9.7 ,76.0,366.7,9.6
Brooklyn,2944.0,11.0,3070524.0,BWS Storehouse,DEP, 4 , 156.7 ,6.7,5,150.9,6.4,4, 154.3 , 6.4 ,2.0,191.2,8.4
Brooklyn,7452.0,1.0,3204772.0,Coney Island WPCP: 2580 Knapp St,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26.0,694.1,24.9
Brooklyn,7481.0,1.0,3205706.0,Coney Island WPCP: 3002 Ave Z,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26.0,694.1,24.9
Brooklyn,8837.0,1.0,3339298.0,Coney Island WPCP: Ave Z,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26.0,694.1,24.9
Brooklyn,7452.0,1.0,3204772.0,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26.0,694.1,24.9
Brooklyn,7452.0,1.0,3386004.0,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26.0,694.1,24.9
Brooklyn,7452.0,1.0,3397304.0,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26.0,694.1,24.9
Brooklyn,7452.0,1.0,3397305.0,Coney Island WPCP: Pumping Station/Sewage Disposal,DEP, 21 , 780.4 ,26.2,22,726.2,25.2,25, 666.1 , 21.9 ,26.0,694.1,24.9
Bronx,2780.0,2.0,9999999.0,Hunts Point WPCP: 1270 Ryawa Ave,DEP, 50 ," 1,752.3 ",47.2,41,1869.0,50.5,36," 1,904.9 ", 51.9 ,43.0,1873.7,51.5
Bronx,2780.0,74.0,2118036.0,Hunts Point WPCP: 1360 REAR Ryawa Ave,DEP, 50 ," 1,752.3 ",47.2,41,1869.0,50.5,36," 1,904.9 ", 51.9 ,43.0,1873.7,51.5
Bronx,2780.0,74.0,2101256.0,Hunts Point WPCP: 1360 Ryawa Ave,DEP, 50 ," 1,752.3 ",47.2,41,1869.0,50.5,36," 1,904.9 ", 51.9 ,43.0,1873.7,51.5
Bronx,2780.0,74.0,2118037.0,Hunts Point WPCP: Halleck St,DEP, 50 ," 1,752.3 ",47.2,41,1869.0,50.5,36," 1,904.9 ", 51.9 ,43.0,1873.7,51.5
Bronx,2779.0,1.0,2117749.0,Hunts Point WPCP: Sanitation Center,DEP, 50 ," 1,752.3 ",47.2,41,1869.0,50.5,36," 1,904.9 ", 51.9 ,43.0,1873.7,51.5
