Borough,Block,Lot,BIN,Building,Agency,2010 Rating *,2010 Source EUI (kBtu/sq.ft.),2010 GHG Emissions Intensity (kgCO2e/ft²) †,2011 Rating * ,2011 Source EUI (kBtu/sq.ft.),2011 GHG Emissions Intensity (kgCO2e/ft²) †,2012 Rating *,2012 Source EUI (kBtu/sq.ft.),2012 GHG Emissions Intensity (kgCO2e/ft²) †,2013 Rating *,2013 Source EUI (kBtu/sq.ft.),2013 GHG Emissions Intensity (kgCO2e/ft²) †
Queens,2631.0,106.0,4059130.0,Q009,DOE, 96 , 90.6 ,3.2,96,91.5,3.4,99, 73.1 , 2.5 ,99.0,77.2,2.8
Queens,714.0,1.0,4012664.0,Q010,DOE, 73 , 101.8 ,3.7,96,64.1,2.0,99, 50.8 , 1.3 ,98.0,56.9,1.5
Queens,1239.0,1.0,4028447.0,"Q011 within (Q011, Q810, Q932)",DOE, 14 , 176.2 ,7.7,30,144.9,6.1,77, 121.7 , 4.8 ,61.0,145.6,6.4
Queens,1349.0,28.0,4031853.0,Q012,DOE, 48 , 125.4 ,5.2,52,120.9,4.8,52, 120.0 , 4.6 ,52.0,122.0,4.9
Queens,1901.0,40.0,4437297.0,Q013,DOE, 95 , 76.1 ,2.6,29,145.4,4.3,56, 112.5 , 3.5 ,32.0,142.0,4.5
Queens,1954.0,37.0,4437311.0,Q014,DOE, 44 , 105.2 ,3.7,40,109.0,3.8,54, 99.6 , 3.6 ,58.0,101.2,3.7
Queens,12672.0,1.0,4273142.0,Q015,DOE, 40 , 185.9 ,6.9,50,170.0,6.5,70, 139.4 , 5.0 ,64.0,148.8,5.2
Queens,594.0,1.0,4007663.0,Q017,DOE, 91 , 83.2 ,3.8,88,88.9,4.2,95, 74.2 , 3.3 ,96.0,70.6,3.0
Queens,7955.0,2.0,4166561.0,Q018,DOE, 95 , 75.5 ,3.8,92,81.6,4.0,87, 91.0 , 4.3 ,97.0,68.3,3.0
Queens,1607.0,1.0,4437176.0,"Q019 within (Q019, Q914, Q819)",DOE, 74 , 124.3 ,4.4,64,138.2,4.8,73, 124.8 , 4.3 ,71.0,128.2,4.6
Queens,5047.0,1.0,4114657.0,Q020,DOE, 73 , 126.1 ,4.3,62,140.6,5.2,75, 122.0 , 4.5 ,61.0,143.2,5.3
Queens,4803.0,1.0,4108665.0,Q021,DOE, 53 , 105.0 ,4.4,50,107.4,4.4,62, 95.3 , 3.8 ,52.0,105.4,4.4
Queens,5328.0,1.0,4438184.0,"Q022 within (Q022, Q959)",DOE, 86 , 101.5 ,4.4,80,110.4,5.1,91, 89.8 , 3.8 ,83.0,105.0,5.0
Queens,4956.0,55.0,4112106.0,Q023,DOE, 92 , 141.1 ,4.8,90,142.2,4.9,94, 129.2 , 4.4 ,90.0,143.4,5.2
Queens,5201.0,21.0,4117403.0,"Q024 within (Q024, Q936)",DOE, 75 , 129.2 ,5.0,81,118.3,4.7,91, 98.6 , 3.9 ,86.0,109.6,4.3
Queens,5261.0,1.0,4119139.0,Q025,DOE, 46 , 146.5 ,6.7,42,151.5,7.2,74, 110.8 , 4.5 ,64.0,124.0,5.6
Queens,7117.0,421.0,4153296.0,Q026,DOE, 70 , 93.5 ,4.8,66,97.6,5.3,83, 78.4 , 3.9 ,67.0,97.7,5.3
Queens,2003.0,23.0,4529578.0,Q028,DOE, 35 , 174.9 ,5.8,28,184.3,6.1,45, 157.4 , 5.0 ,50.0,152.2,5.1
Queens,4229.0,14.0,4099925.0,"Q029 within (Q029, Q952)",DOE, 64 , 123.2 ,5.5,41,151.5,5.9,40, 143.0 , 5.0 ,46.0,125.1,4.7
Queens,12495.0,65.0,4270045.0,"Q030 within (Q030, Q962)",DOE, 92 , 105.6 ,5.0,91,106.7,5.2,96, 90.3 , 4.4 ,96.0,89.1,4.1
Queens,7316.0,18.0,4156949.0,Q031,DOE, 2 , 161.5 ,7.8,11,127.2,6.3,18, 113.4 , 5.5 ,9.0,133.2,6.8
Queens,5256.0,1.0,4118954.0,"Q032 within (Q032, Q922)",DOE, 70 , 101.4 ,5.4,79,91.1,4.6,91, 72.8 , 3.5 ,74.0,97.4,5.3
Queens,10756.0,1.0,4230589.0,"Q033 within (Q033, Q931)",DOE, 73 , 100.8 ,4.0,64,110.7,4.8,71, 102.1 , 4.1 ,62.0,113.1,4.7
Queens,11151.0,81.0,4240503.0,"Q034 within (Q034, Q834)",DOE, 54 , 122.8 ,4.5,48,129.4,5.0,66, 108.4 , 4.0 ,57.0,119.4,4.5
Queens,10447.0,7.0,4222137.0,"Q035 within (Q035, Q929)",DOE, 72 , 120.9 ,4.3,73,119.0,4.2,80, 108.4 , 4.0 ,82.0,105.0,3.6
Queens,12439.0,32.0,4268900.0,"Q036 within (Q036, Q836)",DOE, 17 , 191.5 ,8.8,31,163.5,7.0,46, 142.9 , 6.0 ,29.0,167.8,7.7
Queens,12993.0,118.0,4279864.0,Q037,DOE, 26 , 144.1 ,6.6,24,146.1,7.3,51, 113.4 , 4.9 ,29.0,138.6,7.3
Queens,13222.0,1.0,4284236.0,"Q038 within (Q038, Q946)",DOE, 62 , 141.6 ,5.1,61,141.7,5.6,73, 125.7 , 4.5 ,62.0,141.7,5.5
Queens,12151.0,1.0,4263341.0,"Q040 within (Q040, Q988)",DOE, 64 , 125.4 ,5.1,61,129.3,5.2,71, 116.3 , 4.7 ,68.0,121.0,5.1
Queens,6121.0,1.0,4135975.0,"Q041 within (Q041, Q728)",DOE, 54 , 123.3 ,5.1,69,106.7,4.0,68, 106.9 , 3.7 ,66.0,110.4,4.4
Queens,16039.0,14.0,4302817.0,Q042,DOE, 78 , 96.0 ,4.8,85,80.0,4.5,32, 123.3 , 5.2 ,39.0,117.3,5.4
Queens,15820.0,1.0,4467711.0,"Q043 within (Q043, Q920)",DOE, 14 , 197.7 ,6.7,27,167.6,5.9,76, 116.9 , 3.7 ,35.0,174.7,6.8
Queens,12104.0,1.0,4262725.0,Q045,DOE, 92 , 91.9 ,3.6,95,83.9,3.2,98, 68.8 , 2.6 ,95.0,84.3,3.3
Queens,7619.0,1.0,4162449.0,Q046,DOE, 81 , 121.6 ,6.3,90,102.2,4.9,96, 86.5 , 3.7 ,95.0,90.3,4.0
Queens,15313.0,485.0,4448968.0,Q047,DOE, 31 , 594.2 ,25.4,40,549.3,22.3,59, 460.7 , 16.9 ,38.0,557.8,21.3
Queens,10144.0,42.0,4216099.0,Q048,DOE, 56 , 175.9 ,6.6,91,110.0,4.3,97, 89.9 , 3.5 ,90.0,113.0,4.9
Queens,2990.0,45.0,4069253.0,Q049,DOE, 15 , 220.0 ,7.2,22,223.3,7.0,30, 204.8 , 6.4 ,20.0,230.1,7.3
Queens,10024.0,12.0,4214461.0,"Q050 within (Q050, Q850)",DOE, 68 , 154.4 ,5.7,57,171.4,6.5,69, 151.3 , 5.6 ,72.0,147.3,5.3
Queens,9327.0,26.0,4449704.0,Q051,DOE, 60 , 163.9 ,5.2,66,153.9,4.8,64, 155.4 , 4.7 ,72.0,143.8,4.5
Queens,13353.0,20.0,4285972.0,"Q052 within (Q052, Q960)",DOE, 85 , 128.0 ,4.7,82,132.7,4.8,86, 125.5 , 4.4 ,85.0,127.8,4.8
Queens,15557.0,25.0,4298234.0,Q053,DOE, 27 , 130.5 ,5.8,31,125.3,5.6,44, 110.5 , 4.8 ,27.0,131.2,5.9
Queens,9280.0,1.0,4193916.0,"Q054 within (Q054, Q864)",DOE, 82 , 102.8 ,3.7,82,102.6,4.2,91, 85.4 , 3.1 ,81.0,105.1,3.9
Queens,9477.0,1.0,4200233.0,"Q055 within (Q055, Q865, Q953)",DOE, 75 , 121.6 ,4.5,60,141.1,5.8,80, 112.2 , 4.3 ,77.0,117.7,4.4
Queens,9226.0,57.0,4192689.0,"Q056 within (Q056, Q995)",DOE, 82 , 120.8 ,4.3,86,112.5,3.9,90, 103.9 , 3.6 ,85.0,115.2,4.2
Queens,2802.0,94.0,4062861.0,Q058,DOE, 66 , 126.1 ,4.0,74,114.0,3.5,75, 113.0 , 3.6 ,68.0,122.5,3.8
Queens,12723.0,76.0,4274083.0,Q059,DOE, 96 , 63.1 ,2.2,90,77.7,3.0,96, 63.9 , 2.4 ,94.0,69.3,2.7
Queens,8929.0,58.0,4184144.0,"Q060 within (Q060, Q860)",DOE, 94 , 96.9 ,3.2,96,87.6,2.9,98, 78.2 , 2.5 ,98.0,79.8,2.7
Queens,1891.0,32.0,4046834.0,Q061,DOE, 54 , 122.3 ,4.9,65,109.1,4.4,88, 91.9 , 3.6 ,79.0,106.2,4.9
Queens,9410.0,1.0,4197909.0,Q062,DOE, 77 , 103.9 ,3.6,75,106.2,3.7,81, 97.4 , 3.3 ,78.0,102.6,3.7
Queens,9155.0,25.0,4190727.0,Q063,DOE, 63 , 127.4 ,4.8,67,121.3,4.5,81, 102.7 , 3.7 ,73.0,113.3,4.2
Queens,9053.0,14.0,4188214.0,Q064,DOE, 81 , 122.4 ,5.9,83,119.6,6.0,95, 89.1 , 4.2 ,87.0,110.4,5.7
Queens,9183.0,1.0,4191497.0,"Q066 within (Q066, Q989)",DOE, 86 , 111.8 ,3.9,93,94.4,3.5,93, 95.0 , 3.1 ,90.0,104.4,3.5
Queens,8221.0,12.0,4170797.0,Q067,DOE, 92 , 71.6 ,3.4,91,73.1,3.6,97, 58.2 , 2.6 ,94.0,67.5,3.3
Queens,3579.0,1.0,4437837.0,Q068,DOE, 55 , 147.4 ,5.0,66,132.4,4.2,66, 131.6 , 4.1 ,60.0,141.2,4.9
Queens,1288.0,1.0,4029892.0,"Q069 within (Q069, Q869)",DOE, 58 , 141.4 ,4.6,56,143.3,4.4,63, 133.5 , 4.2 ,43.0,161.1,5.4
Queens,696.0,14.0,4442503.0,"Q070 within (Q070, Q970)",DOE, 30 , 153.6 ,6.3,38,142.8,6.3,96, 64.0 , 3.0 ,73.0,102.4,4.7
Queens,3492.0,7.0,4083519.0,Q071,DOE, 90 , 83.8 ,3.5,91,81.9,3.3,93, 77.3 , 3.1 ,91.0,82.2,3.2
Queens,12495.0,270.0,4270059.0,Q072,DOE, 71 , 109.1 ,4.9,73,106.4,4.8,82, 94.2 , 3.8 ,87.0,87.3,3.4
Queens,2503.0,31.0,4058611.0,"Q073 within (Q073, Q873)",DOE, 23 , 107.3 ,4.8,50,83.1,4.0,91, 60.4 , 2.6 ,78.0,77.5,3.5
Queens,7723.0,1.0,4163953.0,Q074,DOE, 86 , 108.6 ,4.9,86,106.4,4.9,90, 98.2 , 4.4 ,89.0,101.5,4.9
Queens,354.0,1.0,4004331.0,Q076,DOE, 93 , 79.9 ,2.6,93,88.1,2.9,99, 65.2 , 2.2 ,97.0,72.2,2.6
Queens,4647.0,1.0,4105232.0,"Q079 within (Q079, Q766)",DOE, 58 , 102.3 ,4.8,93,62.0,3.4,94, 62.1 , 3.4 ,61.0,103.7,5.0
Queens,12495.0,166.0,4270056.0,Q080,DOE, 78 , 99.5 ,4.6,79,98.5,4.5,93, 85.9 , 3.8 ,90.0,94.2,4.5
Queens,3437.0,1.0,4082076.0,"Q081 within (Q081, Q917)",DOE, 90 , 89.8 ,3.4,86,96.5,3.8,93, 83.1 , 2.8 ,89.0,91.0,3.6
Queens,9684.0,8.0,4206905.0,Q082,DOE, 51 , 142.5 ,5.4,49,144.7,5.7,73, 113.9 , 3.9 ,74.0,113.1,4.1
Queens,794.0,17.0,4015334.0,Q084,DOE, 85 , 93.9 ,3.3,87,90.3,3.3,95, 72.5 , 2.6 ,92.0,80.7,3.0
Queens,842.0,31.0,4017485.0,"Q085 within (Q085, Q981)",DOE, 59 , 112.4 ,4.1,77,115.1,4.2,86, 101.6 , 3.7 ,83.0,107.6,4.1
Queens,9774.0,1.0,4438678.0,"Q086 within (Q505, Q086, Q506)",DOE, 98 , 78.1 ,3.7,98,81.0,3.7,96, 90.6 , 4.4 ,95.0,95.1,4.6
Queens,3782.0,27.0,4091737.0,Q087,DOE, 91 , 93.9 ,3.3,93,90.1,3.2,92, 90.6 , 3.2 ,63.0,135.7,4.4
Queens,3534.0,12.0,4085173.0,Q088,DOE, 12 , 258.1 ,8.6,12,255.0,8.5,19, 226.5 , 7.4 ,12.0,244.4,8.4
Queens,1514.0,1.0,4037370.0,Q089,DOE, 21 , 203.8 ,7.1,24,196.2,7.0,15, 217.4 , 8.1 ,46.0,160.5,5.1
Queens,9204.0,28.0,4192167.0,Q090,DOE, 74 , 79.4 ,2.8,68,84.3,2.9,75, 94.6 , 3.1 ,82.0,87.5,3.0
Queens,3683.0,1.0,4089566.0,Q091,DOE, 71 , 111.2 ,4.8,75,105.0,4.4,80, 98.0 , 4.1 ,76.0,103.5,4.6
Queens,3490.0,1.0,4083511.0,Q093,DOE, 96 , 98.9 ,3.8,97,94.0,4.0,99, 78.4 , 3.0 ,99.0,84.4,3.6
Queens,8135.0,29.0,4169468.0,Q094,DOE, 63 , 121.6 ,5.0,70,113.2,4.6,75, 105.8 , 4.2 ,48.0,139.9,5.2
Queens,9914.0,1.0,4446042.0,"Q095 within (Q095, Q910)",DOE, 86 , 108.2 ,4.1,88,102.7,3.7,93, 90.8 , 3.2 ,92.0,95.3,3.7
Queens,11694.0,27.0,4253028.0,"Q096 within (Q096, Q986)",DOE, 91 , 112.8 ,4.8,93,106.5,4.2,98, 85.0 , 3.2 ,96.0,95.3,3.9
Queens,8855.0,20.0,4181565.0,Q097,DOE, 90 , 97.5 ,3.5,87,102.9,3.8,95, 83.0 , 2.9 ,90.0,98.0,3.5
Queens,8082.0,285.0,4168629.0,Q098,DOE, 89 , 107.6 ,4.1,92,99.5,3.8,94, 92.1 , 3.5 ,92.0,100.3,3.8
Queens,3360.0,1.0,4080168.0,Q099,DOE, 16 , 166.5 ,8.2,10,191.5,10.1,17, 170.2 , 8.3 ,14.0,179.7,9.5
Queens,11623.0,1.0,4250416.0,Q100,DOE, 75 , 112.0 ,3.9,69,118.3,4.3,78, 106.2 , 3.7 ,73.0,112.9,4.2
Queens,3270.0,1.0,4078312.0,Q101,DOE, 79 , 128.4 ,5.0,67,147.3,6.0,81, 124.2 , 5.0 ,84.0,120.3,4.8
Queens,2879.0,31.0,4437597.0,Q102,DOE, 4 , 228.8 ,7.1,12,188.0,5.8,43, 134.8 , 4.1 ,35.0,145.4,4.5
Queens,15693.0,1.0,4442313.0,Q104,DOE, 82 , 109.8 ,5.8,74,120.6,6.4,75, 119.3 , 6.2 ,72.0,124.1,6.4
Queens,15974.0,3.0,4302397.0,Q105,DOE, 92 , 104.6 ,4.6,89,112.9,5.1,95, 93.9 , 4.3 ,91.0,105.9,4.7
Queens,15861.0,35.0,4441244.0,"Q106 within (Q106, Q727, Q806)",DOE, 50 , 202.1 ,6.7,50,201.7,6.9,82, 143.1 , 4.8 ,87.0,131.9,4.9
Queens,5446.0,18.0,4123454.0,Q107,DOE, 65 , 111.7 ,5.2,58,119.2,5.8,75, 99.3 , 4.5 ,71.0,104.8,4.7
Queens,11475.0,11.0,4247572.0,Q108,DOE, 53 , 125.6 ,4.4,52,126.0,4.3,68, 107.9 , 3.6 ,61.0,116.0,4.2
Queens,10626.0,1.0,4226839.0,Q109,DOE, 87 , 98.2 ,3.9,83,104.7,4.3,88, 96.0 , 3.8 ,83.0,105.0,4.4
Queens,363.0,1.0,4004419.0,Q111,DOE, 56 , 113.2 ,6.0,55,114.3,5.6,27, 145.2 , 7.4 ,53.0,115.9,4.7
Queens,344.0,1.0,4004170.0,Q112,DOE, 1 , 493.1 ,24.0,1,506.7,24.6,57, 118.4 , 5.1 ,62.0,115.0,4.6
Queens,3846.0,40.0,4094055.0,Q113,DOE, 5 , 208.6 ,6.5,7,199.7,6.1,31, 191.5 , 5.7 ,44.0,201.4,6.1
Queens,16257.0,1.0,4305615.0,Q114,DOE, 93 , 123.5 ,4.8,96,112.6,4.5,99, 96.4 , 4.7 ,84.0,154.7,8.5
Queens,8717.0,1.0,4178127.0,Q115,DOE, 86 , 87.6 ,4.7,89,82.1,4.4,88, 83.1 , 4.3 ,77.0,100.8,5.6
Queens,10250.0,1.0,4218416.0,"Q116 within (Q116, Q930)",DOE, 71 , 114.9 ,4.4,59,129.7,5.1,71, 114.6 , 4.5 ,64.0,123.2,4.9
Queens,9723.0,150.0,4208040.0,Q117,DOE, 62 , 113.8 ,4.4,69,105.8,4.6,96, 65.1 , 1.9 ,68.0,106.7,4.4
Queens,10926.0,50.0,4233850.0,Q118,DOE, 56 , 141.2 ,5.3,61,134.7,5.7,80, 107.4 , 4.1 ,66.0,127.4,5.1
Queens,3812.0,20.0,4092660.0,Q119,DOE, 92 , 95.6 ,3.8,93,92.4,3.5,97, 80.2 , 3.0 ,96.0,84.1,3.1
Queens,6373.0,1.0,4139491.0,Q120,DOE, 43 , 121.1 ,4.4,54,109.2,3.7,51, 112.3 , 3.9 ,36.0,128.8,4.4
Queens,9491.0,1.0,4200748.0,Q161,DOE, 51 , 139.9 ,4.1,49,141.1,4.2,56, 132.3 , 3.8 ,48.0,142.3,4.6
Queens,11607.0,1.0,4249769.0,"Q121 within (Q121, Q915)",DOE, 75 , 123.1 ,5.7,72,127.1,6.1,94, 86.0 , 3.3 ,89.0,99.0,3.7
Queens,880.0,1.0,4019633.0,Q122,DOE, 74 , 100.0 ,3.9,69,96.5,3.8,82, 81.2 , 3.1 ,76.0,90.1,3.6
Queens,12019.0,10.0,4260828.0,"Q123 within (Q123, Q965)",DOE, 63 , 106.4 ,3.9,93,73.4,3.0,99, 55.7 , 2.3 ,96.0,66.4,2.7
Queens,11882.0,1.0,4257530.0,Q124,DOE, 45 , 191.1 ,8.2,59,168.4,7.2,57, 171.3 , 6.1 ,59.0,167.4,6.5
Queens,2284.0,6.0,4052874.0,"Q125 within (Q125, Q825, Q947)",DOE, 40 , 114.5 ,4.1,49,105.6,3.7,53, 101.0 , 3.7 ,52.0,103.7,3.8
Queens,553.0,1.0,4006382.0,Q126,DOE, 43 , 114.6 ,5.8,68,90.7,5.0,97, 70.6 , 3.7 ,96.0,76.0,4.2
Queens,1109.0,16.0,4024487.0,Q127,DOE, 57 , 116.3 ,4.6,50,123.9,5.3,67, 104.3 , 4.2 ,46.0,128.4,5.4
Queens,3976.0,1.0,4096774.0,"Q129 within (Q129, Q924)",DOE, 68 , 111.0 ,4.0,77,98.6,3.5,85, 87.7 , 3.2 ,82.0,92.8,3.3
Queens,6203.0,1.0,4137034.0,Q130,DOE, 41 , 126.9 ,5.5,24,149.3,6.9,43, 123.8 , 5.3 ,38.0,131.2,5.9
Queens,12927.0,28.0,4278380.0,"Q132 within (Q132, Q996)",DOE, 77 , 125.6 ,4.4,77,125.4,4.5,88, 105.5 , 3.9 ,78.0,122.5,4.9
Queens,8616.0,1.0,4175739.0,Q133,DOE, 74 , 78.7 ,3.4,79,73.8,3.0,85, 67.0 , 2.7 ,80.0,73.6,2.9
Queens,10906.0,1.0,4440330.0,"Q134 within (Q134, Q835)",DOE, 46 , 141.8 ,5.0,40,149.9,5.6,55, 129.8 , 4.6 ,47.0,141.7,5.4
Queens,10582.0,16.0,4225816.0,Q135,DOE, 48 , 135.7 ,4.8,43,136.0,4.9,51, 126.3 , 4.3 ,45.0,135.0,4.8
Queens,11018.0,21.0,4236757.0,Q136,DOE, 74 , 100.2 ,4.1,75,98.7,4.0,89, 79.3 , 3.0 ,79.0,94.4,3.8
Queens,9172.0,1.0,4467457.0,Q137,DOE, 41 , 145.8 ,4.5,31,157.7,5.0,44, 139.9 , 4.3 ,39.0,147.2,4.7
Queens,13578.0,1.0,4288640.0,Q138,DOE, 37 , 161.3 ,6.4,42,152.7,5.8,52, 139.5 , 5.1 ,48.0,145.2,5.4
Queens,3095.0,50.0,4072457.0,Q139,DOE, 65 , 118.5 ,4.3,70,112.0,4.1,76, 104.1 , 3.9 ,69.0,113.7,4.2
Queens,12341.0,31.0,4267260.0,"Q140 within (Q140, Q954)",DOE, 61 , 131.0 ,4.9,57,136.0,4.9,52, 141.7 , 4.8 ,66.0,124.8,4.6
Queens,810.0,1.0,4016102.0,Q141,DOE, 93 , 83.6 ,3.4,90,89.1,3.6,92, 83.2 , 3.3 ,93.0,83.7,3.4
Queens,11972.0,70.0,4259200.0,"Q142 within (Q142, Q875)",DOE, 49 , 132.0 ,4.9,47,134.8,5.0,77, 119.1 , 4.3 ,71.0,127.8,4.8
Queens,1756.0,25.0,4043827.0,"Q143 within (Q143, Q937)",DOE, 89 , 106.0 ,4.0,88,109.2,4.0,91, 102.5 , 3.7 ,87.0,110.8,4.1
Queens,3212.0,1.0,4076870.0,Q144,DOE, 55 , 117.2 ,4.9,44,128.7,5.4,56, 115.2 , 4.8 ,42.0,131.8,5.7
Queens,1252.0,1.0,4442764.0,Q145,DOE, 65 , 92.8 ,4.0,55,101.7,4.7,73, 84.7 , 3.3 ,52.0,105.6,4.6
Queens,14168.0,16.0,4295163.0,"Q146 within (Q146, Q987)",DOE, 70 , 135.4 ,5.2,90,99.8,3.6,95, 85.6 , 3.2 ,97.0,80.6,2.9
Queens,11300.0,1.0,4243743.0,Q147,DOE, 95 , 83.9 ,2.6,69,129.7,4.8,86, 103.3 , 3.7 ,74.0,122.5,4.8
Queens,1419.0,1.0,4034841.0,Q148,DOE, 81 , 98.2 ,3.8,79,100.5,4.0,87, 88.8 , 3.4 ,76.0,105.0,4.0
Queens,1441.0,15.0,4035441.0,Q149,DOE, 81 , 115.3 ,4.1,80,115.2,4.2,86, 105.5 , 3.8 ,85.0,107.7,3.8
Queens,185.0,1.0,4002387.0,Q150,DOE, 36 , 182.4 ,7.0,45,166.8,6.4,64, 139.8 , 5.0 ,56.0,152.1,5.7
Queens,752.0,1.0,4014094.0,"Q151 within (Q151, Q925)",DOE, 44 , 135.8 ,6.1,61,116.3,4.8,69, 107.2 , 4.5 ,50.0,129.5,6.0
Queens,1184.0,14.0,4027102.0,Q152,DOE, 60 , 127.6 ,5.6,48,142.7,6.9,69, 116.2 , 5.2 ,50.0,139.9,6.7
Queens,2732.0,18.0,4060987.0,Q153,DOE, 74 , 115.0 ,4.0,72,117.0,4.2,77, 110.7 , 4.0 ,80.0,107.1,3.8
Queens,6834.0,1.0,4148003.0,Q154,DOE, 71 , 105.4 ,3.9,70,106.4,4.0,73, 101.3 , 3.6 ,60.0,117.2,4.4
Queens,11673.0,1.0,4252357.0,"Q155 within (Q155, Q976)",DOE, 86 , 94.9 ,5.0,83,99.7,5.4,93, 82.0 , 4.2 ,85.0,97.5,5.3
Queens,13170.0,12.0,4283015.0,"Q156 within (Q156, Q957)",DOE, 65 , 139.5 ,5.6,59,147.4,5.2,63, 140.5 , 5.3 ,65.0,138.5,5.2
Queens,2126.0,14.0,4442846.0,Q157,DOE, 86 , 103.8 ,5.1,82,109.8,5.3,94, 86.5 , 3.9 ,89.0,98.8,3.8
Queens,7312.0,1.0,4438325.0,Q158,DOE, 58 , 68.7 ,3.4,65,64.1,3.1,97, 55.1 , 2.6 ,93.0,64.1,3.2
Queens,6038.0,13.0,4134525.0,Q159,DOE, 50 , 94.6 ,4.0,53,91.5,3.9,63, 82.9 , 3.3 ,53.0,92.1,3.8
Queens,11942.0,302.0,4258143.0,"Q160 within (Q160, Q958)",DOE, 71 , 112.4 ,5.5,68,115.8,5.6,78, 103.2 , 4.8 ,54.0,132.2,7.0
Queens,7410.0,1.0,4159363.0,Q162,DOE, 24 , 71.6 ,3.4,29,67.5,3.1,43, 58.4 , 2.4 ,27.0,69.5,3.3
Queens,6726.0,70.0,4146042.0,"Q163 within (Q163, Q968)",DOE, 94 , 58.2 ,2.8,96,54.9,2.7,75, 81.9 , 3.1 ,64.0,93.8,3.6
Queens,6606.0,2.0,4142980.0,Q164,DOE, 35 , 94.9 ,4.6,32,97.1,4.8,36, 92.4 , 5.0 ,29.0,100.7,5.6
Queens,6697.0,12.0,4144881.0,Q165,DOE, 71 , 121.8 ,5.8,66,127.0,6.0,71, 119.9 , 5.6 ,52.0,145.3,7.4
Queens,610.0,1.0,4008220.0,Q166,DOE, 11 , 157.5 ,5.7,11,158.4,5.7,26, 129.0 , 4.8 ,25.0,132.6,4.9
Queens,6826.0,1.0,4147847.0,Q168,DOE, 73 , 131.4 ,6.6,68,132.7,6.7,81, 114.9 , 5.3 ,82.0,112.3,5.3
Queens,5865.0,50.0,4131147.0,Q169,DOE, 13 , 114.5 ,5.6,35,114.9,5.7,56, 93.8 , 4.3 ,38.0,111.9,5.6
Queens,537.0,14.0,4006046.0,Q171,DOE, 82 , 53.4 ,2.6,76,58.3,2.9,82, 53.2 , 2.3 ,60.0,69.0,3.4
Queens,8731.0,4.0,4178464.0,Q172,DOE, 35 , 82.6 ,3.6,22,93.5,4.2,34, 82.3 , 3.5 ,34.0,83.6,4.0
Queens,6927.0,22.0,4149690.0,"Q173 within (Q173, Q723)",DOE, 42 , 97.0 ,4.6,26,111.2,6.0,66, 76.2 , 3.6 ,54.0,86.7,4.3
Queens,3134.0,24.0,4073904.0,"Q174 within (Q174, Q935)",DOE, 54 , 77.0 ,3.6,81,89.1,4.5,91, 74.0 , 3.5 ,91.0,74.7,3.5
Queens,2128.0,14.0,4051200.0,Q175,DOE, 9 , 115.8 ,5.9,8,118.6,6.4,36, 82.3 , 3.9 ,31.0,88.5,4.4
Queens,12820.0,1.0,4276382.0,"Q176 within (Q176, Q992)",DOE, 28 , 112.1 ,5.0,26,114.3,5.0,17, 125.2 , 5.6 ,16.0,128.9,6.1
Queens,5674.0,2.0,4128231.0,"Q177 within (Q177, Q979)",DOE, 14 , 191.4 ,7.9,7,215.2,9.7,30, 187.5 , 7.9 ,30.0,187.2,8.0
Queens,7277.0,1.0,4156558.0,Q178,DOE, 3 , 168.0 ,7.7,20,119.7,4.2,81, 103.4 , 3.8 ,77.0,109.0,4.2
Queens,7128.0,10.0,4153407.0,Q179,DOE, 94 , 46.6 ,2.1,89,52.4,2.5,93, 46.2 , 2.1 ,90.0,51.3,2.5
Queens,16159.0,12.0,4303722.0,Q180,DOE, 87 , 92.0 ,4.3,96,70.0,3.4,92, 81.3 , 3.5 ,66.0,116.0,5.3
Queens,13718.0,1.0,4291453.0,Q181,DOE, 78 , 99.5 ,4.2,28,130.3,6.4,73, 85.3 , 3.6 ,68.0,90.5,4.3
Queens,16112.0,1.0,4303354.0,Q183,DOE, 60 , 121.7 ,6.0,61,120.8,6.1,67, 113.2 , 5.6 ,62.0,118.7,5.4
Queens,5756.0,1.0,4129072.0,Q184,DOE, 61 , 102.3 ,4.7,92,89.4,4.4,97, 74.1 , 3.3 ,86.0,100.6,5.4
Queens,4802.0,1.0,4108664.0,Q185,DOE, 49 , 77.8 ,3.7,40,84.4,4.3,70, 63.0 , 2.9 ,50.0,77.6,3.6
Queens,8401.0,375.0,4173640.0,Q186,DOE, 24 , 122.0 ,6.0,27,118.4,5.9,28, 115.0 , 5.8 ,25.0,120.4,6.4
Queens,7774.0,165.0,4164350.0,Q188,DOE, 32 , 103.1 ,4.0,75,68.1,2.5,80, 88.6 , 3.4 ,73.0,97.5,4.0
Queens,5051.0,27.0,4114763.0,Q189,DOE, 84 , 105.3 ,4.8,76,112.3,5.2,84, 101.2 , 4.4 ,84.0,101.3,4.5
Queens,3172.0,2.0,4075214.0,Q190,DOE, 73 , 72.5 ,3.1,57,84.7,4.1,85, 60.4 , 2.3 ,78.0,68.6,3.1
Queens,8801.0,14.0,4180083.0,Q191,DOE, 95 , 80.9 ,5.3,91,91.9,6.1,98, 71.2 , 4.6 ,91.0,91.3,6.1
Queens,10944.0,301.0,4234318.0,Q192,DOE, 70 , 84.4 ,3.2,52,100.2,4.4,76, 78.3 , 3.1 ,61.0,92.9,4.0
