,year,mmbtu_metric_ton_of_steam,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_ch4,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_co2e,steam_emissions_factors_kg_per_metric_ton_delivered_to_buildings_n2o,kgch4_mw,kgco2_mwh,kgco2e_mwh,kgn20_mwh,new_york_city_population,nyc_consumption_million_gallons_per_day,per_capita_gallons_per_person_per_day,calendar_year_heat,calendar_year_annual_total_heat,calendar_year_change_from_base_year_%_heat,calendar_year_change_from_previous_year_%_heat,fiscal_year_heat,fiscal_year_annual_total_heat,fiscal_year_change_from_base_year_%_heat,fiscal_year_change_from_previous_year_%_heat,calendar_year_cool,calendar_year_annual_total_cool,fiscal_year_cool,fiscal_year_annual_total_cool,number_of_indoor_complaints,REFUSETONSCOLLECTED,PAPERTONSCOLLECTED,MGPTONSCOLLECTED,RESORGANICSTONS,SCHOOLORGANICTONS,LEAVESORGANICTONS,XMASTREETONS
15,1994,,,,,,,,,,0.3551989301713192,0.704292832502875,0.6458333333333333,,,,,,,,,,,,,,0.8842912714746504,0.6882509611550425,0.5203129702076442,0.0,0.0,0.1489374236808844,0.5037512504168057
16,1995,,,,,,,,,,0.3997623077651591,0.6429666538903798,0.59375,,,,,,,,,,,,,,0.8616049561507517,0.6212425743585229,0.538236725337909,0.0,0.0,0.1779226204503096,0.5546015338446149
17,1996,,,,,,,,,,0.4458851401052595,0.5896895362207746,0.5416666666666665,,,,,,,,,,,,,,0.8903484955441983,0.6895084969652555,0.5560890889416764,0.0,0.0,0.12252833179802484,0.23099366455485168
18,1997,,,,,,,,,,0.4997404469155198,0.4126101954771946,0.39583333333333326,,,,,,,,,,,,,,0.8618827253776813,0.5946980892979418,0.618870093033083,0.0,0.0,0.2501285374579576,0.6944398132710902
19,1998,,,,,,,,,,0.5601362066227695,0.43944039862016093,0.39583333333333326,,,,,,,,,,,,,,0.8316754211910017,0.6204832161962024,0.7808632292020167,0.0,0.0,0.3691917136185437,0.8539929976658885
20,1999,,,,,,,,,,0.6237968521800674,0.4733614411651976,0.40625,,,,,,,,,,,,,,0.8204040244888735,0.6532087047273681,0.8822641678565258,0.0,0.0,1.0,0.8928809603201068
21,2000,,,,,,,,,,0.6669617050608219,0.47949405902644693,0.39583333333333326,,,,,,,,,,,,,,0.816160474323163,0.6799947548933735,0.9572294325174006,0.0,0.0,0.8577518798603231,0.9519839946648883
22,2001,,,,,,,,,,0.6788431124438077,0.3714066692219242,0.3229166666666665,,,,,,,,,,,,,,0.8462982730491337,0.6485582405676764,1.0,0.0,0.0,0.9606032691360147,0.8786262087362453
23,2002,,,,,,,,,,0.6907245198267935,0.27865082407052477,0.25,,,,,,,,,,,,,,0.9281796393532686,0.5615862040797904,0.4993901306817087,0.0,0.0,0.000792647657404829,0.7072774258086029
24,2003,,,,,,,,,,0.7026059272097793,0.19835185894978946,0.19791666666666652,,,,,,,,,,,,,,1.0,0.5203935764640892,3.2014137443094866e-06,0.0,0.0,0.0006801773816919815,0.0762754251417139
